"Id","model","AIC","BIC","AIC.BIC.Var","Rsq.train.mean","Rsq.train.var","Rsq.test.mean","Rsq.test.var","RMSE.train.mean","RMSE.train.var","RMSE.test.mean","RMSE.test.var"
"1","beauty_rating ~ complexity_rating + (1 | subject)","8046.4","8070.6","3052.4","0.29","0.00025","0.25","0.00073","0.85","7.1e-05","0.87","0.00019"
"2","beauty_rating ~ complexity_rating + disorder + (1 | subject)","6619.6","6649.8","5035.6","0.56","0.00015","0.53","0.00065","0.67","6.3e-05","0.69","0.00025"
"3","beauty_rating ~ complexity_rating + disorder + (disorder | subject)","6214.1","6256.5","7991.1","0.64","0.00019","0.59","0.00071","0.6","9.3e-05","0.64","0.00032"
"4","beauty_rating ~ complexity_rating + disorder + (complexity_rating | subject)","6340.1","6382.4","1946.9","0.62","5.9e-05","0.58","0.00036","0.62","1.9e-05","0.65","0.00013"
"5","beauty_rating ~ complexity_rating + disorder + ((disorder + complexity_rating) | subject)","5942.6","6003","15294.1","0.69","0.00027","0.63","0.001","0.56","0.00018","0.61","6e-04"
"6","beauty_rating ~ complexity_rating * disorder + (1 | subject)","6524.6","6560.9","7142.8","0.57","0.00019","0.54","8e-04","0.66","8.5e-05","0.68","0.00033"
"7","beauty_rating ~ complexity_rating * disorder + ((complexity_rating + disorder) | subject)","5846.4","5912.9","15859.6","0.7","0.00026","0.65","0.0011","0.55","0.00017","0.6","0.00065"
"8","beauty_rating ~ complexity_rating_sq + disorder + (1 | subject)","7099.9","7130.2","1461.2","0.48","8.2e-05","0.45","0.00039","0.72","2.2e-05","0.74","1e-04"
"9","beauty_rating ~ complexity_rating + complexity_rating_sq + disorder + (1 | subject)","6628","6664.2","5063.2","0.56","0.00015","0.53","0.00065","0.67","6.4e-05","0.69","0.00025"
"10","beauty_rating ~ obj_comp + disorder + (1 | subject)","6844.1","6874.3","922.6","0.52","4.4e-05","0.5","2e-04","0.69","1.3e-05","0.71","5.7e-05"
"11","beauty_rating ~ obj_comp + disorder + ((obj_comp + disorder) | subject)","6356.5","6417","3497.4","0.64","0.00011","0.58","0.00035","0.6","5.1e-05","0.65","0.00013"
"12","beauty_rating ~ obj_comp * disorder + ((obj_comp + disorder) | subject)","6205.1","6271.6","2362.4","0.66","8.1e-05","0.6","0.00025","0.58","3.6e-05","0.63","8.9e-05"
